"seq_name","dr_match_name","replicate","dna_type","seq_depth","plate.id","year","season","sampling.date","lat","long","sample.type.year"
"RO152R","RO152",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-08",50.39031,-63.24513,"RO1"
"RO152.Hypo.D","RO152.Hypo",1,"DNA","Shallow",11,2017,"Autumn","2017-10-08",50.39031,-63.24513,"Deep"
"RO152.Hypo.R","RO152.Hypo",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-08",50.39031,-63.24513,"Deep"
"RO154D","RO154",1,"DNA","Shallow",11,2017,"Autumn","2017-10-08",50.4296,-63.21942,"RO1"
"RO154R","RO154",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-08",50.4296,-63.21942,"RO1"
"RO156D","RO156",1,"DNA","Shallow",11,2017,"Autumn","2017-10-12",50.45174,-63.23296,"RO1"
"RO156R","RO156",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-12",50.45174,-63.23296,"RO1"
"RO157D","RO157",1,"DNA","Shallow",11,2017,"Autumn","2017-10-12",50.44228,-63.22325,"RO1"
"RO157R","RO157",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-12",50.44228,-63.22325,"RO1"
"RO159D","RO159",1,"DNA","Shallow",11,2017,"Autumn","2017-10-12",50.4591,-63.22037,"RO1"
"RO159R","RO159",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-12",50.4591,-63.22037,"RO1"
"RO2117D","RO2117",1,"DNA","Shallow",11,2017,"Autumn","2017-10-04",50.85482,-63.14435,"RO2"
"RO2117R","RO2117",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-04",50.85482,-63.14435,"RO2"
"RO2118D","RO2118",1,"DNA","Shallow",11,2017,"Autumn","2017-10-04",50.84089,-63.18458,"RO2"
"RO2118R","RO2118",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-04",50.84089,-63.18458,"RO2"
"RO2119D","RO2119",1,"DNA","Shallow",11,2017,"Autumn","2017-10-05",51.08891,-63.39541,"RO2"
"RO2119R","RO2119",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-05",51.08891,-63.39541,"RO2"
"RO2120D","RO2120",1,"DNA","Shallow",11,2017,"Autumn","2017-10-09",50.73878,-63.2341,"RO2"
"RO2120R","RO2120",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-09",50.73878,-63.2341,"RO2"
"RO2122D","RO2122",1,"DNA","Shallow",11,2017,"Autumn","2017-10-09",50.71616,-63.25925,"RO2"
"RO2122R","RO2122",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-09",50.71616,-63.25925,"RO2"
"RO2124D","RO2124",1,"DNA","Shallow",11,2017,"Autumn","2017-10-10",50.65741,-63.26254,"RO2"
"RO2124R","RO2124",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-10",50.65741,-63.26254,"RO2"
"RO2124.Hypo.D","RO2124.Hypo",1,"DNA","Shallow",11,2017,"Autumn","2017-10-10",50.65741,-63.26254,"Deep"
"RO2124.Hypo.R","RO2124.Hypo",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-10",50.65741,-63.26254,"Deep"
"RO2126D","RO2126",1,"DNA","Shallow",11,2017,"Autumn","2017-10-10",50.80048,-63.20448,"RO2"
"RO2126R","RO2126",1,"cDNA","Shallow",12,2017,"Autumn","2017-10-10",50.80048,-63.20448,"RO2"
